RECID,TIMESTMP,CON_ID,DET_ID,TAG_ID,ERRORCODE,ERRORMSG,LATENESS,SYSID,VEH_NUM,EVFLAG,lat,lon
42330,11/27/2017 10:41,0,720,5614,65792,RECEIVED: Tag ID.,0,2,E-998,0,33.999969,-118.441279
42331,11/27/2017 10:41,308,720,5614,68111,ISSUED: Start prty(EV# 1).,0,2,E-998,0,33.999969,-118.441279
42334,11/27/2017 10:41,0,718,5614,65792,RECEIVED: Tag ID.,0,2,E-998,0,33.999676,-118.441872
42335,11/27/2017 10:41,307,718,5614,68111,ISSUED: Start prty(EV# 1).,0,2,E-998,0,33.999676,-118.441872
42355,11/27/2017 10:41,0,717,5614,65792,RECEIVED: Tag ID.,0,2,E-998,0,33.998518,-118.444173
42356,11/27/2017 10:41,307,717,5614,68112,ISSUED: Cancel prty(EV# 1).,0,2,E-998,0,33.998518,-118.444173
42360,11/27/2017 10:41,0,716,5614,65792,RECEIVED: Tag ID.,0,2,E-998,0,33.997729,-118.445729
42361,11/27/2017 10:41,306,716,5614,68111,ISSUED: Start prty(EV# 1).,0,2,E-998,0,33.997729,-118.445729
42367,11/27/2017 10:42,0,714,5614,65792,RECEIVED: Tag ID.,0,2,E-998,0,33.997363,-118.446482
42368,11/27/2017 10:42,0,714,5614,67102,MARKED: Hot/Run List deleted at EOR.,0,2,E-998,0,33.997363,-118.446482
42369,11/27/2017 10:42,0,0,5614,67103,DELETED: Hot/Run List deleted by System.,0,2,E-998,0,#N/A,#N/A
43135,11/27/2017 11:00,0,714,5614,65792,RECEIVED: Tag ID.,0,2,E-998,0,33.997363,-118.446482
43136,11/27/2017 11:00,0,714,5614,67095,CREATED: Hot/Run List.,0,2,E-998,0,33.997363,-118.446482
43137,11/27/2017 11:00,0,714,5614,65794,RECEIVED: Resubmitted Tag ID.,0,2,E-998,0,33.997363,-118.446482
43138,11/27/2017 11:00,0,714,5614,68106,"SUCCESS: Dir. ""W"" determined from uni-dir DET#.",0,2,E-998,0,33.997363,-118.446482
43139,11/27/2017 11:00,0,714,5614,67102,MARKED: Hot/Run List deleted at EOR.,0,2,E-998,0,33.997363,-118.446482
43140,11/27/2017 11:00,0,0,5614,67103,DELETED: Hot/Run List deleted by System.,0,2,E-998,0,#N/A,#N/A
43141,11/27/2017 11:00,0,715,5614,65792,RECEIVED: Tag ID.,0,2,E-998,0,33.997545,-118.445706
43142,11/27/2017 11:00,0,715,5614,67095,CREATED: Hot/Run List.,0,2,E-998,0,33.997545,-118.445706
43143,11/27/2017 11:00,0,715,5614,65794,RECEIVED: Resubmitted Tag ID.,0,2,E-998,0,33.997545,-118.445706
43144,11/27/2017 11:00,0,715,5614,68106,"SUCCESS: Dir. ""E"" determined from uni-dir DET#.",0,2,E-998,0,33.997545,-118.445706
43145,11/27/2017 11:00,307,715,5614,68111,ISSUED: Start prty(EV# 2).,0,2,E-998,0,33.997545,-118.445706
43189,11/27/2017 11:01,0,723,5614,65792,RECEIVED: Tag ID.,0,2,E-998,0,34.001463,-118.43796
43190,11/27/2017 11:01,358,723,5614,68111,ISSUED: Start prty(EV# 2).,0,2,E-998,0,34.001463,-118.43796
43238,11/27/2017 11:01,0,829,5614,65792,RECEIVED: Tag ID.,0,2,E-998,0,34.004347,-118.432213
43239,11/27/2017 11:01,311,829,5614,68111,ISSUED: Start prty(EV# 2).,0,2,E-998,0,34.004347,-118.432213
43264,11/27/2017 11:02,0,831,5614,65792,RECEIVED: Tag ID.,0,2,E-998,0,34.005622,-118.429851
43265,11/27/2017 11:02,360,831,5614,68114,IGNORED: No start prty found.,0,2,E-998,0,34.005622,-118.429851
43266,11/27/2017 11:02,0,732,5614,65792,RECEIVED: Tag ID.,0,2,E-998,0,34.005932,-118.429376
43267,11/27/2017 11:02,313,732,5614,68111,ISSUED: Start prty(EV# 1).,0,2,E-998,0,34.005932,-118.429376
43279,11/27/2017 11:02,0,733,5614,65792,RECEIVED: Tag ID.,0,2,E-998,0,34.006256,-118.428796
43280,11/27/2017 11:02,0,733,5614,68098,ERROR: Det ID does not exist along current dir.,0,2,E-998,0,34.006256,-118.428796
43281,11/27/2017 11:02,0,733,5614,67097,CHANGED: Run List.,0,2,E-998,0,34.006256,-118.428796
43282,11/27/2017 11:02,0,733,5614,65794,RECEIVED: Resubmitted Tag ID.,0,2,E-998,0,34.006256,-118.428796
43283,11/27/2017 11:02,0,733,5614,68106,"SUCCESS: Dir. ""W"" determined from uni-dir DET#.",0,2,E-998,0,34.006256,-118.428796
43284,11/27/2017 11:02,312,733,5614,68111,ISSUED: Start prty(EV# 2).,0,2,E-998,0,34.006256,-118.428796
43309,11/27/2017 11:02,0,734,5614,65792,RECEIVED: Tag ID.,0,2,E-998,0,34.008716,-118.42445
43310,11/27/2017 11:02,0,734,5614,68098,ERROR: Det ID does not exist along current dir.,0,2,E-998,0,34.008716,-118.42445
43311,11/27/2017 11:02,0,734,5614,67097,CHANGED: Run List.,0,2,E-998,0,34.008716,-118.42445
43312,11/27/2017 11:02,0,734,5614,65794,RECEIVED: Resubmitted Tag ID.,0,2,E-998,0,34.008716,-118.42445
43313,11/27/2017 11:02,0,734,5614,68106,"SUCCESS: Dir. ""E"" determined from uni-dir DET#.",0,2,E-998,0,34.008716,-118.42445
43314,11/27/2017 11:02,314,734,5614,68111,ISSUED: Start prty(EV# 12).,0,2,E-998,0,34.008716,-118.42445
43344,11/27/2017 11:03,0,737,5614,65792,RECEIVED: Tag ID.,0,2,E-998,0,#N/A,#N/A
43345,11/27/2017 11:03,0,737,5614,68098,ERROR: Det ID does not exist along current dir.,0,2,E-998,0,#N/A,#N/A
43346,11/27/2017 11:03,0,737,5614,67097,CHANGED: Run List.,0,2,E-998,0,#N/A,#N/A
43347,11/27/2017 11:03,0,737,5614,65794,RECEIVED: Resubmitted Tag ID.,0,2,E-998,0,#N/A,#N/A
43348,11/27/2017 11:03,0,737,5614,68107,"SUCCESS: Dir. ""W"" determined at end point.",0,2,E-998,0,#N/A,#N/A
43349,11/27/2017 11:03,313,737,5614,68111,ISSUED: Start prty(EV# 2).,0,2,E-998,0,#N/A,#N/A
43364,11/27/2017 11:03,0,738,5614,65792,RECEIVED: Tag ID.,0,2,E-998,0,#N/A,#N/A
43365,11/27/2017 11:03,0,738,5614,68098,ERROR: Det ID does not exist along current dir.,0,2,E-998,0,#N/A,#N/A
43366,11/27/2017 11:03,0,738,5614,67085,NO MATCH: Route Table.,0,2,E-998,0,#N/A,#N/A
43367,11/27/2017 11:03,0,738,5614,67084,NO MATCH: Foreign Rte Table(Det:738;Sys:2).,0,2,E-998,0,#N/A,#N/A
43543,11/27/2017 11:07,0,0,5614,67101,MARKED: Hot/Run List deleted by Timeout.,0,2,E-998,0,#N/A,#N/A
43549,11/27/2017 11:07,0,0,5614,67103,DELETED: Hot/Run List deleted by System.,0,2,E-998,0,#N/A,#N/A
59411,11/27/2017 16:17,0,710,5614,65792,RECEIVED: Tag ID.,0,2,E-998,0,#N/A,#N/A
59412,11/27/2017 16:17,0,710,5614,67085,NO MATCH: Route Table.,0,2,E-998,0,#N/A,#N/A
59413,11/27/2017 16:17,0,710,5614,67084,NO MATCH: Foreign Rte Table(Det:710;Sys:2).,0,2,E-998,0,#N/A,#N/A
59419,11/27/2017 16:17,0,711,5614,65792,RECEIVED: Tag ID.,0,2,E-998,0,33.994165,-118.452792
59420,11/27/2017 16:17,0,711,5614,67085,NO MATCH: Route Table.,0,2,E-998,0,33.994165,-118.452792
59421,11/27/2017 16:17,0,711,5614,67084,NO MATCH: Foreign Rte Table(Det:711;Sys:2).,0,2,E-998,0,33.994165,-118.452792
82021,11/28/2017 3:17,0,730,5614,65792,RECEIVED: Tag ID.,0,2,E-998,0,34.006235,-118.429199
82022,11/28/2017 3:17,0,730,5614,67095,CREATED: Hot/Run List.,0,2,E-998,0,34.006235,-118.429199
82023,11/28/2017 3:17,0,730,5614,65794,RECEIVED: Resubmitted Tag ID.,0,2,E-998,0,34.006235,-118.429199
82024,11/28/2017 3:17,0,730,5614,68106,"SUCCESS: Dir. ""E"" determined from uni-dir DET#.",0,2,E-998,0,34.006235,-118.429199
82025,11/28/2017 3:17,312,730,5614,68111,ISSUED: Start prty(EV# 9).,0,2,E-998,0,34.006235,-118.429199
82031,11/28/2017 3:17,0,830,5614,65792,RECEIVED: Tag ID.,0,2,E-998,0,34.005625,-118.4302
82032,11/28/2017 3:17,0,830,5614,68098,ERROR: Det ID does not exist along current dir.,0,2,E-998,0,34.005625,-118.4302
82033,11/28/2017 3:17,0,830,5614,67097,CHANGED: Run List.,0,2,E-998,0,34.005625,-118.4302
82034,11/28/2017 3:17,0,830,5614,65794,RECEIVED: Resubmitted Tag ID.,0,2,E-998,0,34.005625,-118.4302
82035,11/28/2017 3:17,0,830,5614,68106,"SUCCESS: Dir. ""W"" determined from uni-dir DET#.",0,2,E-998,0,34.005625,-118.4302
82036,11/28/2017 3:17,311,830,5614,68111,ISSUED: Start prty(EV# 7).,0,2,E-998,0,34.005625,-118.4302
82042,11/28/2017 3:18,0,828,5614,65792,RECEIVED: Tag ID.,0,2,E-998,0,34.004305,-118.432582
82043,11/28/2017 3:18,310,828,5614,68111,ISSUED: Start prty(EV# 4).,0,2,E-998,0,34.004305,-118.432582
82047,11/28/2017 3:18,0,726,5614,65792,RECEIVED: Tag ID.,0,2,E-998,0,34.003723,-118.433821
82048,11/28/2017 3:18,310,726,5614,68112,ISSUED: Cancel prty(EV# 4).,0,2,E-998,0,34.003723,-118.433821
82049,11/28/2017 3:18,0,724,5614,65792,RECEIVED: Tag ID.,0,2,E-998,0,34.003501,-118.434269
82050,11/28/2017 3:18,358,724,5614,68111,ISSUED: Start prty(EV# 9).,0,2,E-998,0,34.003501,-118.434269
82051,11/28/2017 3:18,0,722,5614,65792,RECEIVED: Tag ID.,0,2,E-998,0,34.001533,-118.438209
82052,11/28/2017 3:18,357,722,5614,68111,ISSUED: Start prty(EV# 4).,0,2,E-998,0,34.001533,-118.438209
82053,11/28/2017 3:18,0,720,5614,65792,RECEIVED: Tag ID.,0,2,E-998,0,33.999969,-118.441279
82054,11/28/2017 3:18,308,720,5614,68111,ISSUED: Start prty(EV# 4).,0,2,E-998,0,33.999969,-118.441279
82055,11/28/2017 3:19,0,718,5614,65792,RECEIVED: Tag ID.,0,2,E-998,0,33.999676,-118.441872
82056,11/28/2017 3:19,307,718,5614,68111,ISSUED: Start prty(EV# 7).,0,2,E-998,0,33.999676,-118.441872
82057,11/28/2017 3:19,0,717,5614,65792,RECEIVED: Tag ID.,0,2,E-998,0,33.998518,-118.444173
82058,11/28/2017 3:19,307,717,5614,68112,ISSUED: Cancel prty(EV# 7).,0,2,E-998,0,33.998518,-118.444173
82059,11/28/2017 3:19,0,716,5614,65792,RECEIVED: Tag ID.,0,2,E-998,0,33.997729,-118.445729
82060,11/28/2017 3:19,306,716,5614,68111,ISSUED: Start prty(EV# 6).,0,2,E-998,0,33.997729,-118.445729
82061,11/28/2017 3:19,0,714,5614,65792,RECEIVED: Tag ID.,0,2,E-998,0,33.997363,-118.446482
82062,11/28/2017 3:19,0,714,5614,67102,MARKED: Hot/Run List deleted at EOR.,0,2,E-998,0,33.997363,-118.446482
82063,11/28/2017 3:19,0,0,5614,67103,DELETED: Hot/Run List deleted by System.,0,2,E-998,0,#N/A,#N/A
82064,11/28/2017 3:19,0,712,5614,65792,RECEIVED: Tag ID.,0,2,E-998,0,33.994682,-118.451824
82065,11/28/2017 3:19,0,712,5614,67085,NO MATCH: Route Table.,0,2,E-998,0,33.994682,-118.451824
82066,11/28/2017 3:19,0,712,5614,67084,NO MATCH: Foreign Rte Table(Det:712;Sys:2).,0,2,E-998,0,33.994682,-118.451824
82069,11/28/2017 3:19,0,711,5614,65792,RECEIVED: Tag ID.,0,2,E-998,0,33.994165,-118.452792
82070,11/28/2017 3:19,0,711,5614,67085,NO MATCH: Route Table.,0,2,E-998,0,33.994165,-118.452792
82071,11/28/2017 3:19,0,711,5614,67084,NO MATCH: Foreign Rte Table(Det:711;Sys:2).,0,2,E-998,0,33.994165,-118.452792
82074,11/28/2017 3:20,0,707,5614,65792,RECEIVED: Tag ID.,0,2,E-998,0,33.991816,-118.457488
82075,11/28/2017 3:20,0,707,5614,67085,NO MATCH: Route Table.,0,2,E-998,0,33.991816,-118.457488
82076,11/28/2017 3:20,0,707,5614,67084,NO MATCH: Foreign Rte Table(Det:707;Sys:2).,0,2,E-998,0,33.991816,-118.457488
