RECID,TIMESTMP,CON_ID,DET_ID,TAG_ID,ERRORCODE,ERRORMSG,LATENESS,SYSID,VEH_NUM,EVFLAG
80015,11/27/2017 23:21:59,0,733,6598,65792,RECEIVED: Tag ID.,0,2,60654,0
80016,11/27/2017 23:21:59,0,733,6598,67095,CREATED: Hot/Run List.,0,2,60654,0
80017,11/27/2017 23:21:59,0,733,6598,65794,RECEIVED: Resubmitted Tag ID.,0,2,60654,0
80018,11/27/2017 23:21:59,0,733,6598,68106,"SUCCESS: Dir. ""W"" determined from uni-dir DET#.",0,2,60654,0
80019,11/27/2017 23:21:59,312,733,6598,68111,ISSUED: Start prty(EV# 7).,0,2,60654,0
80027,11/27/2017 23:22:30,0,734,6598,65792,RECEIVED: Tag ID.,0,2,60654,0
80028,11/27/2017 23:22:30,0,734,6598,68098,ERROR: Det ID does not exist along current dir.,0,2,60654,0
80029,11/27/2017 23:22:30,0,734,6598,67097,CHANGED: Run List.,0,2,60654,0
80030,11/27/2017 23:22:30,0,734,6598,65794,RECEIVED: Resubmitted Tag ID.,0,2,60654,0
80031,11/27/2017 23:22:30,0,734,6598,68106,"SUCCESS: Dir. ""E"" determined from uni-dir DET#.",0,2,60654,0
80032,11/27/2017 23:22:30,314,734,6598,68111,ISSUED: Start prty(EV# 0).,0,2,60654,0
80035,11/27/2017 23:22:53,0,737,6598,65792,RECEIVED: Tag ID.,0,2,60654,0
80036,11/27/2017 23:22:53,0,737,6598,68098,ERROR: Det ID does not exist along current dir.,0,2,60654,0
80037,11/27/2017 23:22:53,0,737,6598,67097,CHANGED: Run List.,0,2,60654,0
80038,11/27/2017 23:22:53,0,737,6598,65794,RECEIVED: Resubmitted Tag ID.,0,2,60654,0
80039,11/27/2017 23:22:53,0,737,6598,68107,"SUCCESS: Dir. ""W"" determined at end point.",0,2,60654,0
80040,11/27/2017 23:22:53,313,737,6598,68111,ISSUED: Start prty(EV# 5).,0,2,60654,0
80047,11/27/2017 23:23:05,0,738,6598,65792,RECEIVED: Tag ID.,0,2,60654,0
80048,11/27/2017 23:23:05,0,738,6598,68098,ERROR: Det ID does not exist along current dir.,0,2,60654,0
80049,11/27/2017 23:23:05,0,738,6598,67085,NO MATCH: Route Table.,0,2,60654,0
80050,11/27/2017 23:23:05,0,738,6598,67084,NO MATCH: Foreign Rte Table(Det:738;Sys:2).,0,2,60654,0
80054,11/27/2017 23:23:30,0,742,6598,65792,RECEIVED: Tag ID.,0,2,60654,0
80055,11/27/2017 23:23:30,0,742,6598,68098,ERROR: Det ID does not exist along current dir.,0,2,60654,0
80056,11/27/2017 23:23:30,0,742,6598,67085,NO MATCH: Route Table.,0,2,60654,0
80057,11/27/2017 23:23:30,0,742,6598,67084,NO MATCH: Foreign Rte Table(Det:742;Sys:2).,0,2,60654,0
80058,11/27/2017 23:23:37,0,744,6598,65792,RECEIVED: Tag ID.,0,2,60654,0
80059,11/27/2017 23:23:37,0,744,6598,68098,ERROR: Det ID does not exist along current dir.,0,2,60654,0
80060,11/27/2017 23:23:37,0,744,6598,67085,NO MATCH: Route Table.,0,2,60654,0
80061,11/27/2017 23:23:37,0,744,6598,67084,NO MATCH: Foreign Rte Table(Det:744;Sys:2).,0,2,60654,0
80064,11/27/2017 23:23:49,0,746,6598,65792,RECEIVED: Tag ID.,0,2,60654,0
80065,11/27/2017 23:23:49,0,746,6598,68098,ERROR: Det ID does not exist along current dir.,0,2,60654,0
80066,11/27/2017 23:23:49,0,746,6598,67085,NO MATCH: Route Table.,0,2,60654,0
80067,11/27/2017 23:23:49,0,746,6598,67084,NO MATCH: Foreign Rte Table(Det:746;Sys:2).,0,2,60654,0
80068,11/27/2017 23:23:51,0,745,6598,65792,RECEIVED: Tag ID.,0,2,60654,0
80069,11/27/2017 23:23:51,0,745,6598,68098,ERROR: Det ID does not exist along current dir.,0,2,60654,0
80070,11/27/2017 23:23:51,0,745,6598,67085,NO MATCH: Route Table.,0,2,60654,0
80071,11/27/2017 23:23:51,0,745,6598,67084,NO MATCH: Foreign Rte Table(Det:745;Sys:2).,0,2,60654,0
80074,11/27/2017 23:23:53,0,745,6598,65792,RECEIVED: Tag ID.,0,2,60654,0
80075,11/27/2017 23:23:53,0,745,6598,68110,IGNORED: Det ID. repeated.,0,2,60654,0
80171,11/27/2017 23:27:52,0,0,6598,67101,MARKED: Hot/Run List deleted by Timeout.,0,2,60654,0
80174,11/27/2017 23:27:57,0,0,6598,67103,DELETED: Hot/Run List deleted by System.,0,2,60654,0
81990,11/28/2017 03:16:30,0,730,6598,65792,RECEIVED: Tag ID.,0,2,60654,0
81991,11/28/2017 03:16:30,0,730,6598,67095,CREATED: Hot/Run List.,0,2,60654,0
81992,11/28/2017 03:16:30,0,730,6598,65794,RECEIVED: Resubmitted Tag ID.,0,2,60654,0
81993,11/28/2017 03:16:30,0,730,6598,68106,"SUCCESS: Dir. ""E"" determined from uni-dir DET#.",0,2,60654,0
81994,11/28/2017 03:16:30,312,730,6598,68111,ISSUED: Start prty(EV# 8).,0,2,60654,0
81995,11/28/2017 03:16:39,0,830,6598,65792,RECEIVED: Tag ID.,0,2,60654,0
81996,11/28/2017 03:16:39,0,830,6598,68098,ERROR: Det ID does not exist along current dir.,0,2,60654,0
81997,11/28/2017 03:16:39,0,830,6598,67097,CHANGED: Run List.,0,2,60654,0
81998,11/28/2017 03:16:39,0,830,6598,65794,RECEIVED: Resubmitted Tag ID.,0,2,60654,0
81999,11/28/2017 03:16:39,0,830,6598,68106,"SUCCESS: Dir. ""W"" determined from uni-dir DET#.",0,2,60654,0
82000,11/28/2017 03:16:39,311,830,6598,68111,ISSUED: Start prty(EV# 6).,0,2,60654,0
82003,11/28/2017 03:16:52,0,828,6598,65792,RECEIVED: Tag ID.,0,2,60654,0
82004,11/28/2017 03:16:52,310,828,6598,68111,ISSUED: Start prty(EV# 3).,0,2,60654,0
82005,11/28/2017 03:16:58,0,726,6598,65792,RECEIVED: Tag ID.,0,2,60654,0
82006,11/28/2017 03:16:58,310,726,6598,68112,ISSUED: Cancel prty(EV# 3).,0,2,60654,0
82007,11/28/2017 03:17:01,0,724,6598,65792,RECEIVED: Tag ID.,0,2,60654,0
82008,11/28/2017 03:17:01,358,724,6598,68111,ISSUED: Start prty(EV# 8).,0,2,60654,0
82009,11/28/2017 03:17:18,0,722,6598,65792,RECEIVED: Tag ID.,0,2,60654,0
82010,11/28/2017 03:17:18,357,722,6598,68111,ISSUED: Start prty(EV# 3).,0,2,60654,0
82011,11/28/2017 03:17:29,0,720,6598,65792,RECEIVED: Tag ID.,0,2,60654,0
82012,11/28/2017 03:17:29,308,720,6598,68111,ISSUED: Start prty(EV# 3).,0,2,60654,0
82013,11/28/2017 03:17:31,0,718,6598,65792,RECEIVED: Tag ID.,0,2,60654,0
82014,11/28/2017 03:17:31,307,718,6598,68111,ISSUED: Start prty(EV# 6).,0,2,60654,0
82017,11/28/2017 03:17:39,0,717,6598,65792,RECEIVED: Tag ID.,0,2,60654,0
82018,11/28/2017 03:17:39,307,717,6598,68112,ISSUED: Cancel prty(EV# 6).,0,2,60654,0
82019,11/28/2017 03:17:45,0,716,6598,65792,RECEIVED: Tag ID.,0,2,60654,0
82020,11/28/2017 03:17:45,306,716,6598,68111,ISSUED: Start prty(EV# 5).,0,2,60654,0
82026,11/28/2017 03:17:48,0,714,6598,65792,RECEIVED: Tag ID.,0,2,60654,0
82027,11/28/2017 03:17:48,0,714,6598,67102,MARKED: Hot/Run List deleted at EOR.,0,2,60654,0
82029,11/28/2017 03:17:48,0,0,6598,67103,DELETED: Hot/Run List deleted by System.,0,2,60654,0
82039,11/28/2017 03:18:07,0,712,6598,65792,RECEIVED: Tag ID.,0,2,60654,0
82040,11/28/2017 03:18:07,0,712,6598,67085,NO MATCH: Route Table.,0,2,60654,0
82041,11/28/2017 03:18:08,0,712,6598,67084,NO MATCH: Foreign Rte Table(Det:712;Sys:2).,0,2,60654,0
82044,11/28/2017 03:18:15,0,711,6598,65792,RECEIVED: Tag ID.,0,2,60654,0
82045,11/28/2017 03:18:15,0,711,6598,67085,NO MATCH: Route Table.,0,2,60654,0
82046,11/28/2017 03:18:15,0,711,6598,67084,NO MATCH: Foreign Rte Table(Det:711;Sys:2).,0,2,60654,0
170864,11/29/2017 09:29:02,0,730,6598,65792,RECEIVED: Tag ID.,0,2,60654,0
170865,11/29/2017 09:29:02,0,730,6598,67095,CREATED: Hot/Run List.,0,2,60654,0
170866,11/29/2017 09:29:02,0,730,6598,65794,RECEIVED: Resubmitted Tag ID.,0,2,60654,0
170867,11/29/2017 09:29:02,0,730,6598,68106,"SUCCESS: Dir. ""E"" determined from uni-dir DET#.",0,2,60654,0
170868,11/29/2017 09:29:02,312,730,6598,68111,ISSUED: Start prty(EV# 13).,0,2,60654,0
170893,11/29/2017 09:29:12,0,830,6598,65792,RECEIVED: Tag ID.,0,2,60654,0
170894,11/29/2017 09:29:12,0,830,6598,68098,ERROR: Det ID does not exist along current dir.,0,2,60654,0
170895,11/29/2017 09:29:12,0,830,6598,67097,CHANGED: Run List.,0,2,60654,0
170896,11/29/2017 09:29:12,0,830,6598,65794,RECEIVED: Resubmitted Tag ID.,0,2,60654,0
170897,11/29/2017 09:29:12,0,830,6598,68106,"SUCCESS: Dir. ""W"" determined from uni-dir DET#.",0,2,60654,0
170898,11/29/2017 09:29:12,311,830,6598,68111,ISSUED: Start prty(EV# 10).,0,2,60654,0
170918,11/29/2017 09:29:26,0,828,6598,65792,RECEIVED: Tag ID.,0,2,60654,0
170919,11/29/2017 09:29:26,310,828,6598,68111,ISSUED: Start prty(EV# 7).,0,2,60654,0
171215,11/29/2017 09:33:24,0,0,6598,67101,MARKED: Hot/Run List deleted by Timeout.,0,2,60654,0
171216,11/29/2017 09:33:29,0,0,6598,67103,DELETED: Hot/Run List deleted by System.,0,2,60654,0
175081,11/29/2017 10:37:57,0,733,6598,65792,RECEIVED: Tag ID.,0,2,60654,0
175082,11/29/2017 10:37:57,0,733,6598,67095,CREATED: Hot/Run List.,0,2,60654,0
175083,11/29/2017 10:37:57,0,733,6598,65794,RECEIVED: Resubmitted Tag ID.,0,2,60654,0
175084,11/29/2017 10:37:57,0,733,6598,68106,"SUCCESS: Dir. ""W"" determined from uni-dir DET#.",0,2,60654,0
175085,11/29/2017 10:37:57,312,733,6598,68111,ISSUED: Start prty(EV# 14).,0,2,60654,0
175121,11/29/2017 10:38:25,0,734,6598,65792,RECEIVED: Tag ID.,0,2,60654,0
